iter	Logloss
0	0.6363193854
1	0.5878184361
2	0.5457241318
3	0.5075991501
4	0.4740346112
5	0.4458350711
6	0.4218828361
7	0.4001585963
8	0.3804543903
9	0.3637033349
10	0.350922149
11	0.3387224438
12	0.3275625644
13	0.3180963928
14	0.3092681719
15	0.3017881959
16	0.2949710163
17	0.2885777637
18	0.2834919398
19	0.2785965128
20	0.2733274394
21	0.2695638575
22	0.2664855618
23	0.2633871993
24	0.2605760961
25	0.2579493068
26	0.2552839309
27	0.2534019982
28	0.2516266814
29	0.2498523515
30	0.2481656353
31	0.2466355851
32	0.2455165584
33	0.2443533581
34	0.2432942071
35	0.2422470588
36	0.24148929
37	0.2407125065
38	0.2400644937
39	0.2391849588
40	0.2383365644
41	0.2378064335
42	0.2372240319
43	0.2364965641
44	0.235968215
45	0.2353367031
46	0.234821853
47	0.234527874
48	0.2339886255
49	0.2335564775
50	0.2333414146
51	0.2329955462
52	0.2327418352
53	0.2324582426
54	0.2322354489
55	0.2316916489
56	0.2315038904
57	0.231182421
58	0.230941907
59	0.2306902738
60	0.230330705
61	0.2301994347
62	0.2300464053
63	0.2298990551
64	0.2297047467
65	0.229536918
66	0.2294385521
67	0.2292718206
68	0.2291281903
69	0.2288814364
70	0.2287922069
71	0.2287248555
72	0.2285954589
73	0.2284751638
74	0.2283796771
75	0.2282761558
76	0.2281787127
77	0.228084426
78	0.2279856581
79	0.2279044889
80	0.2278413346
81	0.227664258
82	0.2275929215
83	0.2275293571
84	0.2274823662
85	0.2274257866
86	0.2273375441
87	0.2271729969
88	0.2271298146
89	0.2270592141
90	0.2270091333
91	0.2269671755
92	0.2267816539
93	0.2266857916
94	0.2265943658
95	0.2265546937
96	0.2265092324
97	0.226441483
98	0.2263888176
99	0.226350872
100	0.2263091011
101	0.2262236326
102	0.2261478155
103	0.2260835188
104	0.2260507992
105	0.2260244371
106	0.2259297276
107	0.2258575523
108	0.2257986139
109	0.2257701047
110	0.2257351265
111	0.2256407444
112	0.2255998169
113	0.2255707521
114	0.2255260956
115	0.2255005374
116	0.2254699656
117	0.2254413465
118	0.2254120598
119	0.2253699026
120	0.2253348128
121	0.2253014047
122	0.2252740315
123	0.2252407701
124	0.2251871981
125	0.2251599623
126	0.2251415939
127	0.2251099796
128	0.2250757901
129	0.2250507654
130	0.2250341844
131	0.2250073388
132	0.2249599262
133	0.2249296412
134	0.2249001177
135	0.2248817909
136	0.2248305095
137	0.224787217
138	0.2247666538
139	0.2247411942
140	0.2247176632
141	0.2246980312
142	0.2246711529
143	0.2246271347
144	0.2246051105
145	0.2245736012
146	0.2245488806
147	0.2245195167
148	0.2244979027
149	0.2244799349
150	0.2244553223
151	0.2244393498
152	0.2243930092
153	0.2243687757
154	0.2243543649
155	0.224329135
156	0.2243118055
157	0.2242814244
158	0.2242574767
159	0.2242400828
160	0.2242197003
161	0.2241918365
162	0.2241727222
163	0.2241409728
164	0.224116435
165	0.2240912158
166	0.2240777051
167	0.2240642447
168	0.2240401603
169	0.2240232809
170	0.2239765954
171	0.2239628177
172	0.2239442879
173	0.2239303046
174	0.2239107522
175	0.2238893413
176	0.2238599225
177	0.2238390213
178	0.2238207008
179	0.2237888387
180	0.223770936
181	0.2237399374
182	0.2237252805
183	0.2237068215
184	0.2236875395
185	0.2236646272
186	0.2236398356
187	0.2236195312
188	0.2235997767
189	0.2235775636
190	0.2235506083
191	0.223516118
192	0.2234974521
193	0.2234761955
194	0.2234626015
195	0.2234394035
196	0.2234228377
197	0.2234041304
198	0.2233942078
199	0.223379822
200	0.22336342
201	0.2233442372
202	0.2233311473
203	0.2233053113
204	0.2232875904
205	0.2232712571
206	0.2232546685
207	0.2232355212
208	0.2232188253
209	0.2231965354
210	0.2231721526
211	0.2231557506
212	0.2231291163
213	0.2231100065
214	0.2230899608
215	0.2230714845
216	0.2230553953
217	0.2230362234
218	0.2229972013
219	0.2229819175
220	0.2229576557
221	0.2229435467
222	0.2229274854
223	0.2228941167
224	0.2228811824
225	0.2228672133
226	0.2228525548
227	0.2228419721
228	0.2228278701
229	0.2228027274
230	0.2227905563
231	0.2227732933
232	0.2227600166
233	0.2227461878
234	0.222722678
235	0.222704925
236	0.2226893802
237	0.2226750952
238	0.2226591431
239	0.2226402077
240	0.2226246746
241	0.2226110054
242	0.2225913886
243	0.2225733331
244	0.2225570034
245	0.2225482377
246	0.2225314304
247	0.2225109389
248	0.2224961687
249	0.2224765765
250	0.2224560467
251	0.2224453617
252	0.2224294029
253	0.222413009
254	0.2223958732
255	0.2223834306
256	0.2223680405
257	0.2223533551
258	0.2223311787
259	0.2223141296
260	0.2222985317
261	0.2222821087
262	0.2222603866
263	0.2222390633
264	0.2222194716
265	0.2222047425
266	0.2221879628
267	0.2221684042
268	0.2221508451
269	0.2221342991
270	0.222115653
271	0.2220982783
272	0.2220863278
273	0.2220705654
274	0.2220546566
275	0.2220363252
276	0.2220179901
277	0.2220070615
278	0.2219925166
279	0.221976583
280	0.2219562021
281	0.2219413228
282	0.2219170369
283	0.2218975526
284	0.2218779409
285	0.2218599046
286	0.2218426325
287	0.2218263223
288	0.2218106246
289	0.2217968485
290	0.2217802278
291	0.2217632653
292	0.2217418212
293	0.221728545
294	0.2217158445
295	0.2217005614
296	0.2216890969
297	0.2216702805
298	0.221652767
299	0.2216327766
